Label,URL,HTTP_Protocol,Dot_count,url_len,Digit_count,Hypen_count,Double_slash_count,Single_slash_count,Special_characters_count,At_sign_count
0,https://urlscan.io/result/e6cb5bed-fa87-4317-bfc3-4d21f13025ef/...added on May 30th 2023 5:19 PM,1,4,96,26,4,1,5,2,0
0,https://www.mercadopago.com.br/added on May 26th 2023 3:21 PM,1,3,61,9,0,1,3,2,0
0,https://onedrive.live.com/about/es-us-signin/added on May 26th 2023 5:19 AM,1,2,75,9,2,1,5,2,0
0,http://url.zp.edu.ua/added on May 26th 2023 5:05 AM,0,3,51,9,0,1,3,2,0
0,https://bitflyer.com/en-us/added on May 26th 2023 2:04 AM,1,1,57,9,1,1,4,2,0
0,https://phishtank.org/phish_detail.php?phish_id=8153631...added on May 24th 2023 1:26 AM,1,5,88,16,0,1,3,6,0
0,https://polo.feathr.co/v1/analytics/crumb?flvr=email_link_click&t_...added on May 23rd 2023 8:17 AM,1,5,99,10,0,1,5,8,0
0,https://quttera.com/added on May 19th 2023 1:46 PM,1,1,50,9,0,1,3,2,0
0,http://www.quttera.com/added on May 19th 2023 1:46 PM,0,2,53,9,0,1,3,2,0
0,https://play.google.com/store/apps/details?id=com.credit.fectivocash.l...added on May 19th 2023 3:38 AM,1,8,103,9,0,1,5,4,0
0,https://play.google.com/store/apps/details?id=in.crazycoin.play.releas...added on May 19th 2023 3:28 AM,1,8,103,9,0,1,5,4,0
0,https://185.81.101.37/added on May 19th 2023 12:00 AM,1,3,53,20,0,1,3,2,0
0,https://ethereum.org/en/added on May 17th 2023 4:10 AM,1,1,54,9,0,1,4,2,0
0,https://www.esfera.com.vc/p/renner/e000100117added on May 12th 2023 12:52 PM,1,3,76,19,0,1,5,2,0
0,https://www.cnbbank.com/added on May 8th 2023 11:50 PM,1,2,54,9,0,1,3,2,0
0,https://www.bigcartel.com/added on May 8th 2023 8:49 PM,1,2,55,8,0,1,3,2,0
0,https://bigcartel.com/added on May 8th 2023 8:49 PM,1,1,51,8,0,1,3,2,0
0,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 8th 2023 7:42 AM,1,5,102,32,4,1,5,2,0
0,https://www.the-dressingroom.com/redirect.php?siteID=QFGLnEolOWg-n4Y11...added on May 8th 2023 7:15 AM,1,6,102,11,2,1,3,4,0
0,https://www.aidoge.comadded on May 6th 2023 7:31 PM,1,2,51,8,0,1,2,2,0
0,https://bequettehomes.com//wp-admin/css/bootstrap-min.js...added on May 5th 2023 11:18 AM,1,5,89,9,2,2,6,2,0
0,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 4th 2023 8:55 AM,1,5,102,32,4,1,5,2,0
0,https://www.sicoob.com.br/added on May 3rd 2023 3:18 PM,1,3,55,8,0,1,3,2,0
0,https://btprivacy.my.onetrust.com/ui/#/portalAccess/f800585c-2b88-4b1a...added on Apr 22nd 2023 10:57 AM,1,6,104,21,2,1,6,3,0
0,https://btprivacy.my.onetrust.com/privacyaccess/eyJhbGciOiJSUzUxMiJ9.L...added on Apr 22nd 2023 10:57 AM,1,7,104,11,0,1,4,2,0
0,https://findomestic-test.fercam.com/added on Apr 21st 2023 2:35 AM,1,2,66,9,1,1,3,2,0
0,https://findomestic-test.fercam.com/login?ReturnUrl=%2F...added on Apr 21st 2023 2:35 AM,1,5,88,10,1,1,3,5,0
0,https://www.education.gouv.fr/added on Apr 14th 2023 12:06 AM,1,3,61,10,0,1,3,2,0
0,https://www.google.com.lb/search?q=csmoneyadded on Apr 11th 2023 3:27 PM,1,3,72,9,0,1,3,4,0
0,https://www.officeppe.com/added on Apr 9th 2023 11:01 PM,1,2,56,9,0,1,3,2,0
0,http://officeppe.com/added on Apr 9th 2023 11:01 PM,0,1,51,9,0,1,3,2,0
0,https://makerdao.com/added on Apr 7th 2023 6:19 PM,1,1,50,8,0,1,3,2,0
0,https://www.makerdao.comadded on Apr 7th 2023 6:19 PM,1,2,53,8,0,1,2,2,0
0,https://talosintelligence.com/added on Apr 7th 2023 2:13 PM,1,1,59,8,0,1,3,2,0
0,https://bmp.dbs.moneyp.com.br/loginadded on Apr 6th 2023 12:14 PM,1,4,65,9,0,1,3,2,0
